Series Name,Period,Frequency,Value,Units
Average retail price of electricity : California : all sectors : annual,2017,Annual,16.14,cents per kilowatthour
Average retail price of electricity : California : all sectors : annual,2016,Annual,15.23,cents per kilowatthour
Average retail price of electricity : California : all sectors : annual,2015,Annual,15.42,cents per kilowatthour
Average retail price of electricity : California : all sectors : annual,2014,Annual,15.15,cents per kilowatthour
Average retail price of electricity : California : all sectors : annual,2013,Annual,14.3,cents per kilowatthou
Average retail price of electricity : Washington : all sectors : annual,2017,Annual,7.94,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : annual,2016,Annual,7.68,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : annual,2015,Annual,7.4,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : annual,2014,Annual,7.13,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : annual,2013,Annual,7.09,cents per kilowatthour
